,date,open,high,low,close,volume,MA_volume_10,MA_close_60,high_by_close,high_by_close_15,high_by_close_15_check
0,20171016,4835,6276,4364,6276,4750683,,,0.0,False,
1,20171017,7288,8158,6989,8158,1029793,,,0.0,False,
2,20171018,10269,10597,9556,10597,338675,,,0.0,False,
3,20171019,12495,13750,10968,12808,3410349,,,7.35,False,
4,20171020,12081,13279,10312,10312,1502457,,,28.77,True,
5,20171023,10669,11710,10098,10498,1120863,,,11.55,False,
6,20171024,10127,10369,9128,9228,637539,,,12.36,False,
7,20171025,9299,10084,8857,9513,684757,,,6.0,False,
8,20171026,9299,9385,8686,8800,287749,,,6.65,False,
9,20171027,8772,9271,8601,9057,325061,1408792.6,,2.36,False,
10,20171030,8900,9043,8601,8986,174978,951222.1,,0.63,False,
11,20171031,8872,9756,8757,9171,447490,892991.8,,6.38,False,
12,20171101,9314,10212,9157,10212,381446,897268.9,,0.0,False,
13,20171102,9956,10212,9556,10098,300617,586295.7,,1.13,False,
14,20171103,9670,9784,9271,9642,214363,457486.3,,1.47,False,
15,20171106,9271,9357,8872,8943,163962,361796.2,,4.63,False,
16,20171107,9043,9171,8686,9043,145715,312613.8,,1.42,False,
17,20171108,9185,9414,8886,9000,220943,266232.4,,4.6,False,
18,20171109,9028,9314,8843,8843,158020,253259.5,,5.33,False,
19,20171110,9057,10269,9057,9257,1045187,325272.1,,10.93,False,
20,20171113,9414,9414,9100,9200,155965,323370.8,,2.33,False,
21,20171114,9285,9314,8629,8815,207989,299420.7,,5.66,False,
22,20171115,8815,8872,8372,8387,155643,276840.4,,5.78,False,
23,20171116,8258,8586,8130,8372,128800,259658.7,,2.56,False,
24,20171117,8387,8515,8173,8301,91169,247339.3,,2.58,False,1.0
25,20171120,8344,8344,7602,7673,657185,296661.6,,8.74,False,1.0
26,20171121,7702,7716,7303,7417,228947,304984.8,,4.03,False,1.0
27,20171122,7431,7887,7303,7445,317450,314635.5,,5.94,False,1.0
28,20171123,7445,8130,7317,7702,461011,344934.6,,5.56,False,1.0
29,20171124,7773,7959,7516,7516,203984,260814.3,,5.89,False,0.0
